3;8;0 1 0 -1 0 0 -1 -1 
6;8;-1 -1 1 -1 -1 -1 -1 -1 
2;8;-1 0 1 0 1 1 -1 1 
1;8;0 0 0 0 -1 -1 -1 0 
0;8;0 0 -1 0 -1 0 -1 -1 
4;8;0 0 1 0 0 0 0 0 
5;8;0 0 0 1 1 1 0 0 
7;8;1 1 1 1 1 1 1 1 
5;22;0 1 0 1 1 0 0 -1 
6;22;1 1 -1 -1 1 -1 1 -1 
4;22;-1 -1 -1 -1 -1 -1 -1 -1 
2;22;0 1 -1 -1 0 0 0 -1 
3;22;0 1 -1 1 0 -1 0 -1 
0;22;0 1 0 0 1 -1 1 -1 
1;22;0 1 0 0 -1 0 0 -1 
7;22;0 0 -1 0 0 -1 0 -1 
7;31;0 0 0 0 0 0 0 0 
2;31;0 1 1 0 1 1 1 1 
1;31;0 1 1 0 0 1 1 1 
4;31;0 1 -1 1 1 1 1 -1 
3;31;-1 -1 -1 -1 -1 -1 -1 -1 
5;31;0 0 0 0 1 0 1 0 
6;31;0 0 -1 -1 -1 -1 -1 -1 
0;31;0 -1 0 0 -1 -1 -1 -1 
1;33;0 0 0 0 -1 0 0 -1 
3;33;0 1 1 0 0 0 0 -1 
5;33;1 1 1 1 1 1 0 1 
7;33;1 1 1 1 1 1 1 1 
0;33;1 1 -1 -1 -1 -1 -1 -1 
4;33;1 1 1 1 1 1 0 1 
6;33;-1 1 -1 -1 -1 -1 1 -1 
2;33;0 0 0 0 0 0 0 0 
0;34;1 1 1 1 1 1 1 1 
3;34;1 1 1 1 0 0 1 1 
7;34;1 1 1 1 1 1 1 1 
6;34;0 1 -1 1 -1 -1 1 -1 
2;34;0 1 -1 0 0 -1 0 -1 
4;34;0 0 0 0 0 -1 -1 -1 
5;34;0 1 -1 0 -1 1 -1 -1 
1;34;0 1 0 0 -1 0 0 -1 
5;41;0 1 0 0 0 1 0 0 
2;41;-1 -1 -1 0 0 -1 0 -1 
0;41;1 1 1 1 1 1 1 1 
7;41;0 1 0 1 1 1 0 0 
3;41;0 -1 -1 0 0 -1 -1 -1 
4;41;0 0 0 0 -1 0 0 0 
6;41;0 -1 0 -1 0 -1 -1 -1 
1;41;0 1 0 1 1 -1 -1 -1 
2;46;0 0 0 0 1 0 0 0 
6;46;1 1 1 1 0 1 0 1 
5;46;-1 0 1 0 -1 0 -1 1 
4;46;1 1 1 1 1 1 0 1 
1;46;0 1 0 1 0 1 1 1 
3;46;0 0 0 0 0 1 0 0 
7;46;0 0 -1 -1 0 0 0 -1 
0;46;0 -1 -1 -1 -1 0 0 -1 
7;51;1 -1 1 -1 0 1 0 0 
0;51;0 1 -1 0 1 0 1 -1 
1;51;0 -1 0 -1 -1 -1 -1 -1 
4;51;0 0 0 0 0 0 0 0 
5;51;-1 1 1 1 -1 1 -1 -1 
3;51;1 1 1 1 1 1 1 1 
2;51;0 0 0 0 0 0 0 0 
6;51;-1 1 1 1 -1 1 -1 -1 
2;54;1 -1 -1 1 -1 0 -1 0 
3;54;0 1 -1 0 -1 1 0 -1 
5;54;1 1 1 1 -1 1 -1 1 
1;54;0 0 0 0 0 0 0 0 
4;54;0 0 0 0 1 1 1 0 
6;54;1 1 1 -1 -1 -1 1 -1 
0;54;1 1 1 1 1 1 1 -1 
7;54;1 -1 0 1 0 0 -1 0 
5;58;-1 0 1 -1 0 1 1 1 
2;58;-1 -1 -1 -1 -1 -1 -1 -1 
6;58;0 0 -1 0 0 0 -1 -1 
4;58;1 1 1 1 1 1 1 1 
1;58;0 1 -1 1 1 0 0 -1 
0;58;0 0 -1 0 -1 -1 -1 -1 
3;58;0 0 -1 -1 -1 0 -1 -1 
7;58;0 1 1 0 1 -1 1 -1 
7;59;0 1 0 0 0 0 1 1 
2;59;-1 -1 -1 -1 -1 -1 -1 -1 
3;59;1 -1 1 -1 -1 -1 -1 0 
1;59;0 0 0 1 0 1 0 0 
4;59;-1 1 -1 -1 -1 -1 1 -1 
6;59;-1 -1 -1 -1 0 0 -1 -1 
0;59;-1 0 0 -1 1 1 -1 1 
5;59;-1 1 -1 -1 -1 -1 -1 -1 
6;60;0 1 1 1 0 1 1 0 
3;60;0 -1 -1 0 0 0 0 -1 
0;60;0 1 -1 1 0 1 -1 -1 
5;60;1 -1 1 0 -1 1 0 0 
2;60;0 0 0 0 0 -1 0 -1 
4;60;-1 -1 -1 -1 -1 0 0 -1 
7;60;0 1 0 -1 0 0 1 -1 
1;60;-1 -1 -1 -1 -1 -1 -1 -1 
2;62;1 1 1 1 1 1 1 1 
4;62;1 -1 1 -1 0 0 0 0 
0;62;-1 -1 -1 -1 -1 -1 -1 -1 
1;62;-1 -1 -1 -1 -1 -1 -1 -1 
5;62;0 1 0 1 0 0 0 -1 
7;62;1 1 1 -1 1 1 -1 1 
3;62;1 1 1 1 0 1 1 1 
6;62;0 1 1 -1 -1 1 0 -1 
7;66;0 0 -1 0 -1 -1 -1 -1 
0;66;0 0 0 0 0 1 0 0 
6;66;0 0 -1 0 -1 -1 -1 0 
3;66;0 1 1 0 1 0 0 0 
1;66;0 0 0 0 0 -1 -1 0 
2;66;0 0 0 1 0 0 0 0 
5;66;-1 0 -1 -1 1 1 0 1 
4;66;0 1 0 0 0 0 0 1 
4;72;-1 -1 -1 -1 -1 1 -1 -1 
7;72;1 1 -1 1 1 -1 1 1 
3;72;0 1 1 -1 1 0 1 -1 
2;72;-1 0 -1 1 0 -1 0 1 
6;72;0 1 1 1 1 0 0 0 
0;72;-1 1 1 1 1 -1 -1 -1 
5;72;-1 1 -1 -1 1 -1 -1 -1 
1;72;0 0 -1 0 -1 -1 0 -1 
1;74;-1 -1 -1 -1 -1 -1 -1 -1 
0;74;1 1 -1 1 1 1 1 1 
5;74;-1 1 -1 -1 1 1 1 -1 
6;74;-1 1 1 1 -1 -1 -1 -1 
7;74;0 1 1 1 1 1 1 1 
2;74;0 0 0 0 0 -1 0 0 
4;74;0 -1 0 0 -1 0 0 -1 
3;74;1 -1 1 0 1 1 1 0 
1;76;0 0 0 0 1 1 0 0 
3;76;1 1 1 1 0 1 1 1 
7;76;0 1 1 1 1 1 1 0 
4;76;1 -1 -1 1 0 -1 -1 0 
6;76;1 1 -1 1 1 -1 1 -1 
2;76;1 -1 -1 0 0 1 0 0 
0;76;0 1 0 1 0 0 1 1 
5;76;1 1 1 1 1 1 1 1 
2;78;0 0 0 -1 0 0 -1 0 
5;78;0 1 1 -1 0 -1 0 -1 
6;78;-1 -1 -1 -1 -1 -1 0 -1 
7;78;0 -1 0 0 -1 0 0 -1 
3;78;1 1 1 -1 1 1 1 1 
0;78;0 -1 -1 0 -1 -1 0 -1 
4;78;0 1 1 0 1 0 -1 -1 
1;78;1 1 1 1 1 1 1 1 
5;81;-1 1 -1 1 -1 1 -1 -1 
1;81;0 1 0 0 0 0 1 1 
2;81;0 1 0 1 0 0 1 0 
0;81;0 1 1 1 1 1 1 0 
4;81;1 1 -1 -1 1 1 1 1 
6;81;0 -1 -1 -1 0 -1 -1 -1 
7;81;0 0 0 0 0 0 0 0 
3;81;1 1 1 1 1 1 1 1 
